link,price,title
https://vancouver.craigslist.org/pml/apa/d/coquitlam-gorgeous-furnished-3-bedroom/6837066265.html,$3200,Gorgeous furnished 3 bedroom/3.5 bath single house
https://vancouver.craigslist.org/rch/apa/d/richmond-2-bedroom-basement-suite/6839318265.html,$1500,2 bedroom basement suite
https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-orcaref1918igorgeous-6/6837639450.html,$4300,(ORCA_REF#1918I)***GORGEOUS 6 BED/3BATH 3 LEVEL FAMILY HOME IN CHARMIN
https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-orcaref2035fbdgorgeous/6839317476.html,$3240,(ORCA_REF#2035FBD)***GORGEOUS 2 BED+DEN CONDO @ CAPILANO RESIDENCES!**
https://vancouver.craigslist.org/nvn/apa/d/vancouver-furnished-one-bedroom-and-den/6834175175.html,$2350,Furnished One Bedroom and A Den
https://vancouver.craigslist.org/pml/apa/d/coquitlam-rent-beautiful-house-in/6839313854.html,$3000,Rent beautiful house in Coquitlam
https://vancouver.craigslist.org/van/apa/d/vancouver-amazing-1-br-1-bath-apt-fully/6839317391.html,$2325,Amazing 1 BR & 1 Bath Apt Fully Furnished @Downtown (Alberni St)
https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-bright-2bedrooms-ground/6831982465.html,$1300,Bright 2bedrooms ground level suite in POCO Victoria Dr
https://vancouver.craigslist.org/van/apa/d/coquitlam-furnished-private-unit-short/6831972562.html,$1350,***Furnished private unit short term***
https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-orcaref2035f3-2gorgeous/6839317130.html,$4330,"(ORCA_REF#2035F3-2)***GORGEOUS 3 BED, 2 BATH CONDO @ CAPILANO RESIDENC"
https://vancouver.craigslist.org/pml/apa/d/coquitlam-spacious-sunshine-legal/6833787969.html,$1300,Spacious Sunshine Legal Basement Suite
https://vancouver.craigslist.org/van/apa/d/vancouver-spacious-bachelor-in-modern/6839316884.html,$1449,Spacious bachelor in modern building
https://vancouver.craigslist.org/van/apa/d/vancouver-orcaref1668gorgeous-1-bed-1/6839316847.html,$1950,(ORCA_REF#1668)***GORGEOUS 1 BED/1 BATH CONDO @ ENGLISH BAY RESIDENCES
https://vancouver.craigslist.org/van/apa/d/vancouver-orcaref1111sub-penthouse/6839316531.html,$3750,(ORCA_REF#1111)***Sub-Penthouse! AMAZING 2 BED! MUST SEE!***
https://vancouver.craigslist.org/pml/apa/d/maple-ridge-1-bedroom-basement-suite/6831521528.html,$975,1 Bedroom Basement Suite
https://vancouver.craigslist.org/van/apa/d/vancouver-first-floor-1-bedroom/6832765046.html,$1200,First floor 1 bedroom
https://vancouver.craigslist.org/rds/apa/d/white-rock-two-bedroom-suite/6839316098.html,$2000,Two Bedroom Suite
https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-north-shore-three/6839292276.html,$3300,North Shore Three Bedroom Townhome
https://vancouver.craigslist.org/nvn/apa/d/north-vancouver/6839315813.html,$4995,"(ORCA_REF#2035TWN3B)***GORGEOUS TWN 3 BED,2.5 BATH CONDO @ CAPILANO"
https://vancouver.craigslist.org/van/apa/d/vancouver-orcaref1388h2-bed-2-bath/6839315584.html,$4500,(ORCA_REF#1388H)2 Bed 2 Bath Yaletown Patio V
https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-orcaref2770bspectacular/6839315303.html,$18000,(ORCA_REF#2770B)***SPECTACULAR FURNISHED 7400 SQ FT  4 BED / 6 BATH
https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-elegant-waterfront/6831191151.html,$6900,Elegant WATERFRONT luxury house in West Vancouver
https://vancouver.craigslist.org/van/apa/d/vancouver-coal-harbor-high-end/6835171908.html,$4400,Coal Harbor High End Townhouse Super Close to Seawall
https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-great-water-downtown/6830759181.html,$4200,Great Water/Downtown View in a Completely Renovated House
https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-georgeous-water-view/6819967741.html,$7500,Georgeous Water View Luxury House in West Vancouver
https://vancouver.craigslist.org/van/apa/d/vancouver-coal-harbour-luxury-1br-den/6823621144.html,$2000,"Coal Harbour Luxury 1BR + Den , Ocean View, New appliances"
https://vancouver.craigslist.org/rds/apa/d/surrey-2-bedroom-for-rent/6837578002.html,$1350,2 Bedroom for Rent
https://vancouver.craigslist.org/rch/apa/d/vancouver-four-bedroom-family-house/6822746472.html,$2600,Four Bedroom Family House
https://vancouver.craigslist.org/rds/apa/d/surrey-house-for-rent/6839291631.html,$2500,House for Rent
https://vancouver.craigslist.org/van/apa/d/kitsilano-1-one-bedroom-with-balcony/6839291484.html,$1645,Kitsilano 1 (one) bedroom with balcony (3rd/Cypress)
https://vancouver.craigslist.org/rds/apa/d/chilliwack-house-for-rent/6832944685.html,$2200,House For Rent
https://vancouver.craigslist.org/rds/apa/d/surrey-new-1-bedroom-basement-suite/6824871763.html,$1200,New 1 Bedroom Basement Suite
https://vancouver.craigslist.org/van/apa/d/vancouver-3-bedroom-killarney-basement/6833778614.html,$1950,3 Bedroom Killarney Basement Suite
https://vancouver.craigslist.org/bnc/apa/d/burnaby-2-bedroom-suit/6839290911.html,$1400,2 bedroom suit
https://vancouver.craigslist.org/rch/apa/d/richmond-1br-1den-suite-for-rent-in/6839290808.html,$1650,1br + 1Den Suite for rent in Richmond
https://vancouver.craigslist.org/rch/apa/d/richmond-big-furnished-room-upper-floor/6815870759.html,$850,"Big furnished room, upper floor, wifi, utilities,TV, laundry included"
https://vancouver.craigslist.org/bnc/apa/d/burnaby-may-1-large-renovated-utilities/6839290247.html,$1400,May 1. Large Renovated utilities included
https://vancouver.craigslist.org/bnc/apa/d/new-westminster-5mins-walk-to-cloumbia/6839290187.html,$1600,5mins walk to Cloumbia Skytrain Stn.
https://vancouver.craigslist.org/van/apa/d/vancouver-great-apartment-1-br-1-bath/6833724345.html,$2300,Great Apartment 1 BR & 1 Bath @CoalHarbour*Unfurnished (Melville st)
https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-house-semi-waterfront-in/6832029971.html,$4700,"House, semi-waterfront in Dundarave, next to the beach & village"
